"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__DocType__c","LLC_BI__Description__c","LLC_BI__DocOwner__c","LLC_BI__docManager__c","LLC_BI__lookupId__c","LLC_BI__lookupKey__c","NDOC__Industry__c"
"a0RDm000000oeCYMAY","","Credit Memo","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw0MAE","","","a0VDm000000XqdgMAC","","42703531007231668",""
"a0RDm000000oeCZMAY","","Business Tax Returns","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw8MAE","","","a0VDm000000XqdiMAC","","42256085278468493",""
"a0RDm000000oeCaMAI","","Business Financial Statements","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw8MAE","","","a0VDm000000XqdiMAC","","42385854554573876",""
"a0RDm000000oeCbMAI","","Credit Report","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw8MAE","","","a0VDm000000XqdiMAC","","4235936986982662",""
"a0RDm000000oeCcMAI","","Tax ID","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw9MAE","","","a0VDm000000XqdiMAC","","42235428912050805",""
"a0RDm000000oeCdMAI","","Business Tax Returns","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw8MAE","","","a0VDm000000XqdiMAC","","42922756348999502",""
"a0RDm000000oeCeMAI","","Business Financial Statements","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw8MAE","","","a0VDm000000XqdiMAC","","42930870263366049",""
"a0RDm000000oeCfMAI","","Credit Report","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw8MAE","","","a0VDm000000XqdiMAC","","42917463528431116",""
"a0RDm000000oeCgMAI","","Articles of Incorporation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHwAMAU","","","a0VDm000000XqdiMAC","","42315142651573539",""
"a0RDm000000oeChMAI","","Personal Tax Return","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw8MAE","","","a0VDm000000XqdiMAC","","42507119317489612",""
"a0RDm000000oeCiMAI","","Personal Financial Statement","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","a0XDm000000sHw8MAE","","","a0VDm000000XqdiMAC","","42604283256496912",""
