"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__lookupKey__c","LLC_BI__Action_Name__c","LLC_BI__Action_Type__c","LLC_BI__Action_Display_Name__c"
"a0DDm000000gieVMAQ","005Dm000000nnayIAA","","KY_DM_AWSBucket","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","KY_DM_AWSBucket","","",""
"a0DDm000000gieWMAQ","005Dm000000nnayIAA","","PT-NonReal0808040","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","PT-NonReal0808040","","",""
"a0DDm000000gieXMAQ","005Dm000000nnayIAA","","PT-Consume0541007","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","PT-Consume0541007","","",""
"a0DDm000000gieYMAQ","005Dm000000nnayIAA","","PT-Consume0771309","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","PT-Consume0771309","","",""
"a0DDm000000gieZMAQ","005Dm000000nnayIAA","","KY_DM_ReviewerRoles","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","KY_DM_ReviewRoles","","",""
"a0DDm000000gieaMAA","005Dm000000nnayIAA","","KY_GBL_NamespacePrefixBI","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","KY_GBL_NS_PrefixBI","","",""
"a0DDm000000giebMAA","005Dm000000nnayIAA","","KY_GBL_ChangeMemo","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","KY_GBL_ChangeMemo","","",""
"a0DDm000000giecMAA","005Dm000000nnayIAA","","KY_GBL_CreditRole","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","KY_GBL_CreditRole","","",""
"a0DDm000000giedMAA","005Dm000000nnayIAA","","KY_VER_Configuration","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","KY_VER_Config","","",""
"a0DDm000000gieeMAA","005Dm000000nnayIAA","","PT-Com-RE","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","PT-Com-RE","","",""
"a0DDm000000giefMAA","005Dm000000nnayIAA","","Modification","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","42440627222022945","Modify","Material Modification","Modification"
"a0DDm000000giegMAA","005Dm000000nnayIAA","","Renewal","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","42713401968631377","Renew","Material Modification","Renewal"
"a0DDm000000giehMAA","005Dm000000nnayIAA","","Borrowing Structure Adjustment","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","42087581767096825","Modify","Material Modification","Borrowing Structure Adjustment"
"a0DDm000000gieiMAA","005Dm000000nnayIAA","","Collateral Adjustment","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","42069006513967105","Modify","Material Modification","Collateral Adjustment"
"a0DDm000000giejMAA","005Dm000000nnayIAA","","Rate Change","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","42180530733978430","Modify","Material Modification","Rate Change"
